DateTime of Tweet,Replying to,Tweet,Likes,Retweet,Image
13/11/2022 08:06:05,194,Elon Musk slowly finding out the most basic information about the platform he bought by getting fact-checked on it,286000,3138,https://pbs.twimg.com/media/FhbeS51XwAA-bpz?format=jpg&name=small
14/11/2022 09:55:57,2,"Segunda idiotez del día. Elon Musk propone en el G20 la fabricación de cohetes que den la vuelta al mundo en 45 minutos. ¿Para qué servirá eso? Phileas Fogg tardó ochenta días. Yo, cinco décadas, y aún no la he completado.",27,4,
14/11/2022 10:00:10,2,"ÚLTIMA HORA: Elon Musk afirma que ""#Bitcoin recuperará su valor, pero que podría vivir un largo invierno"".",10,1,https://pbs.twimg.com/media/FhhB_npX0AIMp15?format=jpg&name=small
14/11/2022 06:38:22,0,Vaya! Una foto menos donde lucirse...Sánchez se queda sin su foto con Elon Musk: no se reunirá con el dueño de Twitter en el G20:,12,7,
14/11/2022 08:37:51,0,"Mucho pelota veo en Twitter,creo que Elon Musk tiene más seguidores de los que merece,un poco moñas con los tuits",4,0,https://pbs.twimg.com/media/FhgvJ1TXEAEk4Zk?format=jpg&name=small
14/11/2022 10:20:36,0,Elon Musk propone en el G20 cohetes espaciales para ir de una punta a otra del mundo en 45 minutos,0,0,https://pbs.twimg.com/media/FhhGrCoXgAIJ_O1?format=jpg&name=small
14/11/2022 07:36:35,5,"Volví caremierdas, preparen ese tetramalparido culo por qué a partir de ahora si el gordo malparido gay de elon musk no me clava permaban me voy a asegurar que todo twitter me tenga bloqueado de tantos familiares en los que me voy a cagar de ellos, un saludo",7,5,
14/11/2022 10:07:23,0,Twitter no le da descanso: Elon Musk recibe una demanda multimillonaria después de publicar un meme sin gracia https://3djuegos.com/p/128692,11,3,https://pbs.twimg.com/media/FhhDphjXgAA8Mme?format=jpg&name=small
14/11/2022 10:20:34,0,Creo que es la primera vez que veo publicidad en Twitter de una empresa de Musk … ¿habrán pagado para aparecer ahí?,0,0,https://pbs.twimg.com/media/FhhGqUXXoAEtXE7?format=jpg&name=small
14/11/2022 08:56:27,6,Otra cosa que puede verificarme el Musk éste es el coño.,13,0,
14/11/2022 10:14:41,1,Elon Musk: Ahora Twitter va a ser libre.Twitter una semana después : te vamos a suspender la cuenta porque tú humor incita al suicidio y nos hace llorar como al niño Jesús,1,0,
12/11/2022 00:54:55,1498,"People are starting to say Elon Musk isn't actually a real engineer. But he definitely said ""I don't know why people think Twitter is so complicated. I could fix it in like a weekend."" And then proceeded to fuck everything up. That's exactly like an engineer.",1707000,141000,
14/11/2022 10:17:05,0,Elon Musk ha vuelto a despedir a miles de personas de Twitter de forma inhumana: en domingo y bloqueando el acceso al correo y Slack https://genbeta.com/p/311960,2,4,https://pbs.twimg.com/media/FhhF3dbXgAECbON?format=jpg&name=small
14/11/2022 08:57:46,0,"Estaría bien que Musk se comprara ahora LinkedIn y cobrara 8 euros por cada invitación de gente que ni se sabe quién es ni saluda, solo te pasa precios a bocajarro.",2,0,
14/11/2022 09:09:17,0,"EN @TWITTERESPANA SÓLO TIENE QUE QUEDAR LA ROOMBA, @elonmusk.",6,1,https://pbs.twimg.com/media/FhgHKdBWYAAxS5P?format=jpg&name=120x120
12/11/2022 16:14:47,296,elon musk tried to correct bernie sanders on insulin prices but then got fact checked by his own website lol,1248000,148000,https://pbs.twimg.com/media/FhYEjqRWIAIkN8P?format=jpg&name=360x360
14/11/2022 10:15:00,1,"Si veis que #StarlinkEspaña es TT y que os salen anuncios de Starlink y tal, es porque Starlink ha comprado un paquete (caro) de publi a TwitterO sea: una empresa de Elon Musk que aun no reporta beneficio ha comprado un pack de publi a una empresa de Elon Musk en horas bajas",2,1,
14/11/2022 09:31:53,1,Elon Musk apuesta por los cohetes y los túneles subterráneos para resolver los problemas de tráfico.https://bit.ly/3UPEZbL,4,2,https://pbs.twimg.com/media/Fhg7g3sX0AITD7y?format=jpg&name=small
14/11/2022 09:55:58,3,"Y por cierto: a veces pienso en escribir un libro que se titule ""La vuelta al mundo en ochenta polvos"". Mejor eso que el cohete de Musk, ¿no?",19,3,
14/11/2022 09:06:07,0,que rabia la peña que se cree graciosa quien les dio tanta voz a toni canto o elon musk,2,0,
14/11/2022 08:04:17,1,"SpaceX compra una campaña publicitaria para Starlink en Twitter, ¿Está Musk tratando de ayudar a Twitter desde su propia compañía?",1,1,https://pbs.twimg.com/media/FhgndStXkAAWTf-?format=jpg&name=small
14/11/2022 07:11:54,0,Familia les comparto esta  pequeña conversación muy interesante en Twitter entre Tom Fitton y Elon Musk!,1,0,https://pbs.twimg.com/media/Fhgbe22XgAERv2T?format=jpg&name=360x360
14/11/2022 09:06:57,3,"Starlink, la empresa de internet de @elonmusk, llega a España y es tendencia promocionada en España. Me alucina ver gente que habla que es gratis. De gratis nada: 70€ al mes y 390€ de aparatos. Pero soluciona la falta de infraestructura en zonas rurales",7,0,
14/11/2022 09:09:13,1,"Elon Musk:  Bitcoin lo logrará, pero podría ser un largo invierno.#Bitcoin #BTC",3,2,
14/11/2022 08:01:10,0,elon musk haz lo tuyo,2,0,https://pbs.twimg.com/media/FhZCRBiXoAE0P3U?format=jpg&name=small
14/11/2022 07:47:51,0,no diré mucho pero elon musk va a tener un pedote!,4,2,
14/11/2022 10:15:50,0,"Si quieres ver cómo se siente Twitter sobre Elon Musk, aquí tienes un dashboard que ofrece una visualización basada en ""sentiment analysis"" en tiempo real Spoiler: ""no bien"", por lo que sea",2,0,
14/11/2022 09:55:28,0,Elon Musk va a empezar a cobrar 8 galeones por cada lechuza enviada.,7,1,
14/11/2022 10:02:02,1,¿A quien a destruido la vida hoy Elon Musk?,1,0,
14/11/2022 09:55:42,0,El Cid se hace rico como Elon Musk - clase de lengua,1,0,
14/11/2022 08:11:57,0,"La farsa de la ""liberación"" de Twitter: la irrupción de Musk ahonda en todos los vicios de la ""bulocracia"" Especialistas coinciden en que el nuevo CEO de Twitter agravará la polarización y el fanatismo.",9,5,
14/11/2022 08:00:11,0,Los viejos rockeros nunca mueren ni dejan de dar caña.Un batería de thrash metal demanda a Elon Musk por valor de 56 mil millones de dólares.,1,1,
14/11/2022 10:04:19,1,Elon Musk lleva una semana al frente de Twitter. ¿Cómo será la plataforma a medio plazo? El periodista @CaseyNewton ha tenido acceso al roadmap que se planea para las próximas semanas y meses. Aquí van algunas claves. Importante para newsletteros: Musk cierra Revue.Más,0,0,https://pbs.twimg.com/media/FhhC8QlWIAAQG-h?format=jpg&name=small
14/11/2022 10:17:03,0,Bajo la administración de Elon Musk ya ha sido despedido el 80% de los empleados de Twitter http://dlvr.it/Sckxs6,0,0,https://pbs.twimg.com/media/FhhF3C3aAAEcV9Q?format=jpg&name=small
14/11/2022 07:00:12,0,"Elon musk tío perdón tío, perdón por promover o alentar al su1cidi0 o a las aut0les1ones tío",2,0,
14/11/2022 10:18:31,0,Ya me voy. Cuídense y por aquí vendré a poner mis productos y proyectos en tanto el señor Musk no venda al fierro viejo su juguete roto.,1,0,
14/11/2022 09:15:00,0,Tirar Del Cable 2x17 Elon Musk PACHACHOEscúchalo en tus plataformas favoritasiVoox: https://bit.ly/3WeFUDxSpotify: https://spoti.fi/3r341adApple Podcast: https://apple.co/3x1smRCAmazon Music: https://amzn.to/3qZDhY4Google Podcast: https://bit.ly/3t1oOMd,1,0,https://pbs.twimg.com/media/FhgwupBWAAE4Wzq?format=jpg&name=small
14/11/2022 09:57:02,0,A COMPARTIR HASTA QUE EL ÚLTIMO SER HUMANO LO SEPA,2,0,
14/11/2022 09:14:04,0,Buenos dias jungla alquilada por Elon Musk,3,0,
14/11/2022 08:12:59,2,"ELON MUSK: “ #BITCOIN  LO LOGRARÁ, ¡PERO PODRÍA SER UN INVIERNO LARGO EN CRIPTO!” #bitcoin #cryptocurrency",0,0,https://pbs.twimg.com/media/FhgpdeEXgAAQy_y?format=jpg&name=small
14/11/2022 09:15:15,2,El magnate apuesta por los cohetes y por los túneles subterráneos para agilizar el transporte y solucionar las congestiones de tráfico,4,1,
